,artists
370,'Wolfgang Amadeus Mozart'
371,'Wolf Harden'
372,'Edvard Grieg']
373,'Jean-Philippe Rameau']
374,'Percy Grainger']
375,['Jules Massenet'
376,['Edward Elgar'
377,['Nikolai Rimsky-Korsakov'
378,['Mikhail Glinka'
379,['TOTO']
380,'Gabriele Lechner'
381,'Diane Elias'
382,'Michael Pabst'
383,'Robert Holzer'
384,'Zagreb Philharmonic Chorus'
385,'Zagreb Philharmonic Orchestra'
386,'Richard Edlinger']
387,'Michael Halasz']
388,['Spirit Of The West']
389,['Tuck Andress']
390,'William Charles Andress']
391,['Kari Tapio']
392,['Kari Tapio'
393,'Rexi']
394,['Ernest John Moeran'
395,'Ulster Orchestra'
396,'Vernon Handley']
397,'Margaret Fingerhut'
398,['Cole Porter'
399,'Anything Goes Orchestra (1987)'
400,'Edward Strauss']
401,['Patti LuPone']
402,['Michele Pigliavento'
403,'Alec Timerman'
404,'Anything Goes Ensemble (1987)']
405,['Patti LuPone'
406,'Howard McGillin']
407,['Howard McGillin'
408,'Kathleen Mahony-Bennett']
409,['Rex Everhart'
410,'Larry Cahn'
411,'Leslie Feagan'
412,'Dale Hensley'
413,'Steve Steiner']
414,'Bill McCutcheon']
415,['Anything Goes Orchestra (1987)'
416,['Anything Goes Ensemble (1987)'
417,['Kathleen Mahony-Bennett']
418,['Bill McCutcheon']
419,'Kathleen Mahony-Bennett'
420,['Anthony Heald']
421,['Linda Hart'
422,'Howard McGillin'
423,'Anthony Heald'
424,['Ellen Epstein'
425,'Cindy Kallet'
426,'Michael Cicone']
427,'Hector Berlioz'
428,['Adolphe Adam'
429,['Charles Gounod'
430,['Léo Delibes'
431,['Amilcare Ponchielli'
432,['Sara K.']
433,['Lou Harrison']
434,'Balint Vázsonyi']
435,['Illusion Of Safety']
436,['Karlheinz Stockhausen']
437,['Branford Marsalis']
438,'Wolfgang Sobotka']
439,['Jean Sibelius'
440,'Esa-Pekka Salonen'
441,'Philharmonia Orchestra']
442,['Carl Nielsen'
443,'Swedish Radio Symphony Orchestra']
444,['Jelly Roll Morton & His Red Hot Peppers'
445,'Jelly Roll Morton']
446,['Jelly Roll Morton'
447,'Jelly Roll Morton & His Red Hot Peppers']
448,['Jelly Roll Morton']
449,'Johnny Dodds']
450,'Wolfgang Rübsam']
451,['Richard Strauss'
452,'Zdeněk Košler']
453,['The Psychedelic Furs']
454,['Sweet Honey In The Rock']
455,['Bob Dylan']
456,['John Mellencamp']
457,['Bruce Springsteen']
458,['U2']
459,['Fishbone'
460,'Little Richard']
461,['Arlo Guthrie']
462,['Willie Nelson']
463,['Emmylou Harris']
464,['Taj Mahal']
465,['Brian Wilson']
466,['Pete Seeger'
467,'Sweet Honey In The Rock'
468,'Doc Watson'
469,'The Little Red School House Chorus']
470,['Starship']
471,['The Fabulous Thunderbirds']
472,['Robbie Nevil']
473,['Bobby McFerrin']
474,['The Georgia Satellites']
475,['The Beach Boys']
476,['Ry Cooder']
477,['Preston Smith']
478,['Little Richard']
479,'Johann Aratore'
480,'Handel Festival Chamber Orchestra'
481,'John Tinge']
482,['Crimson Glory']
483,['Philip Aaberg']
484,['Noel Hill']
485,['Michael William Gilbert']
486,['Kirk Whalum']
487,['Jonathan Butler']
488,['Gordon Getty'
489,'Kaaren Erickson'
490,'Armen Guzelimian']
491,['Camouflage']
492,['Bob Mintzer']
493,['Bob Mintzer Big Band']
494,['Brighton Rock']
495,['Georg Philipp Telemann'
496,'John Williams']
497,['Domenico Scarlatti'
498,['François Couperin'
499,['Ludovico Roncalli'
500,['Silvius Leopold Weiss'
501,['Gulam Mohamed Khan'
502,'Bill Laswell'
503,'Sacred System']
504,'Sussan Deyhim'
505,['Bill Laswell'
506,['Badal Roy'
507,['Joe Moon']
508,['Bruce Hornsby'
509,'The Range']
510,['Giuseppe Verdi'
511,'Luciano Pavarotti'
512,'Emerson Buckley'
513,"'Symphony Orchestra Of Emilia Romagna ""Arturo Toscanini""']"
514,['Gaetano Donizetti'
515,"""Orchestra Sinfonica dell'Emilia-Romagna""]"
516,['Giacomo Puccini'
517,['Cesare Andrea Bixio'
518,['Vincenzo de Crescenzo'
519,['Arturo Buzzi-Peccia'
520,['Umberto Giordano'
521,['Ruggero Leoncavallo'
522,['Eldo di Lazzaro'
523,['Ernesto de Curtis'
524,['Eduardo di Capua'
525,['Tracy Chapman']
526,['Benny Carter'
527,'The American Jazz Orchestra']
528,['Timmy Abell']
529,['Lonnie Mack']
530,'Joseph Kalichstein'
531,'Jaime Laredo'
532,'Sharon Robinson'
533,'English Chamber Orchestra'
534,'Alexander Gibson']
535,'City Of Birmingham Symphony Orchestra'
536,'Walter Weller']
537,['Chet Baker'
538,'NDR Bigband']
539,'Radio Orchestra Hanover']
540,['Chet Baker']
541,'Ensemble']
542,['Keith Whitley']
543,['Jon Mark']
544,['R. Carlos Nakai']
545,['Freehand']
546,['Monroe Products']
547,'Felicja Blumental'
548,'Vienna Musikgesellschaft Orchestra'
549,'Michael Gielen']
550,"[""Frehley's Comet""]"
551,['Barón Rojo']
552,'Istvan Bogar']
553,'David Wright'
554,'Gregory Davis']
555,['Daniel Gregory Mason'
556,['Max Reger'
557,['Bruce BecVar']
558,['Budapest Symphony Orchestra'
559,'Robert Schumann']
560,['Hard-Ons']
561,['Horacio Salinas'
562,'John Williams'
563,'Paco Peña'
564,'Inti-Illimani']
565,'Patricio Manns'
566,'Victor Contreras'
567,['Paco Peña'
568,['Manuel Garrido'
569,'José Manuel Moya'
570,"[""Black 'N Blue""]"
571,['a-ha']
572,['Carly Simon']
573,['Valery Ponomarev'
574,'Ralph Moore'
575,'Larry Willis'
576,'Dennis Irwin'
577,'Victor Jones']
578,['Nick Brignola']
579,['Pet Shop Boys']
580,['Pet Shop Boys'
581,'Robin Hancock'
582,'Stephen Lipson'
583,'Trevor Horn']
584,['Scrawl'
585,'Marcy Mays'
586,'Sue Harshe'
587,"""Carolyn O'Leary""]"
588,"[""'Til Tuesday""]"
589,['Plácido Domingo']
590,"[""Vienna Boys' Choir""]"
591,['Johann Sonnleitner'
592,"""Vienna Boys' Choir"""
593,'Hans Gillesberger'
594,'Anton Neyder']
595,"[""Vienna Boys' Choir"""
596,'Plácido Domingo']
597,'Jussi Björling'
598,'Robert Merrill'
599,'Renato Cellini'
600,'RCA Victor Symphony Orchestra']
601,'Zinka Milanov'
602,'Emil Markow']
603,'Licia Albanese'
604,'Jonel Perlea']
605,'Renato Cellini']
606,['Phase II']
607,['Phase II'
608,'Dave Lee']
609,'Rheji Burrell']
610,'The Shy Boys']
611,'Martin Turnovsky']
612,'Ingrid Haebler']
613,['The Dickey Betts Band']
614,['The Dickey Betts Band'
615,'Dickey Betts']
616,['Margaret Leng Tan']
617,['Strauss Festival Orchestra'
618,'Johann Strauss II']
619,['Michael Stearns']
620,['Pietro Mascagni'
621,'RCA Victor Orchestra'
622,['New Kids On The Block'
623,'Robert Clivillés'
624,'David Cole']
625,'David Darlington']
626,['Slapshot']
627,['R.E.M.']
628,['Death Angel']
629,['Hanns Eisler'
630,'Rosemarie Lang'
631,'Uta Priew'
632,'Andreas Sommerfeld'
633,'Stefan Lisewski'
634,'Martin Seifert'
635,'Rundfunkchor Berlin'
636,'Rundfunk Sinfonieorchester Berlin'
637,'Max Pommer'
